OBČINE,2021 Bruto prejeti dohodek - SKUPAJ
SLOVENIJA,0.46428941217330616
Ajdovščina,0.4264766189264526
Ankaran/Ancarano,0.6575357766256932
Apače,0.11620626316171372
Beltinci,0.29899010981037344
Benedikt,0.33015019945881563
Bistrica ob Sotli,0.2944595860485631
Bled,0.6073258006683683
Bloke,0.4672814982279839
Bohinj,0.4977184324730203
Borovnica,0.44447397578122394
Bovec,0.40039981444174766
Braslovče,0.5352613672773403
Brda,0.3581575924387459
Brezovica,0.5673117452014522
Brežice,0.39448657189281644
Cankova,0.18668008077817067
Celje,0.4478052192742521
Cerklje na Gorenjskem,0.5066270222058442
Cerknica,0.4729012391475735
Cerkno,0.4298690085922603
Cerkvenjak,0.33554166133336155
Cirkulane,0.368181488363068
Črenšovci,0.266944623580084
Črna na Koroškem,0.4427708510487385
Črnomelj,0.3467901112778817
Destrnik,0.34745701220233033
Divača,0.4287822372813922
Dobje,0.34917318145167536
Dobrepolje,0.43430332904223085
Dobrna,0.383457432887999
Dobrova - Polhov Gradec,0.49042491698387936
Dobrovnik/Dobronak,0.2554621876143943
Dol pri Ljubljani,0.5796037564947426
Dolenjske Toplice,0.49632103860443244
Domžale,0.5739342833546258
Dornava,0.33099483192547674
Dravograd,0.41478954710252747
Duplek,0.3600441556895699
Gorenja vas - Poljane,0.38633456413785117
Gorišnica,0.3842833138616743
Gorje,0.38952394851003086
Gornja Radgona,0.24217553191055705
Gornji Grad,0.343577083718894
Gornji Petrovci,0.19066599596109143
Grad,0.08780671939369088
Grosuplje,0.6245372253823469
Hajdina,0.4033454294051129
Hoče - Slivnica,0.45507998327040716
Hodoš/Hodos,0.032007167962014374
Horjul,0.47944387963498186
Hrastnik,0.3765226416124979
Hrpelje - Kozina,0.4522468772649562
Idrija,0.5228120064994305
Ig,0.46910610002372466
Ilirska Bistrica,0.4074511910866816
Ivančna Gorica,0.5109300822049146
Izola/Isola,0.43387612111507795
Jesenice,0.3591636508015449
Jezersko,0.5770820883293153
Juršinci,0.24913804278438476
Kamnik,0.48751109803035947
Kanal,0.3490810545513543
Kidričevo,0.3911928313857598
Kobarid,0.3738615601731333
Kobilje,0.2703590258680923
Kočevje,0.35852773060463783
Komen,0.4255145858080548
Komenda,0.6059438971635515
Koper/Capodistria,0.46018854218555993
Kostanjevica na Krki,0.49179214540722943
Kostel,0.42888577813396556
Kozje,0.2666242176347193
Kranj,0.49674824653158534
Kranjska Gora,1.0
Križevci,0.33151009034143214
Krško,0.44009835565712163
Kungota,0.3435591475082119
Kuzma,0.0
Laško,0.3677200385791586
Lenart,0.38594812032588466
Lendava/Lendva,0.31733803805574745
Litija,0.4355825069767784
Ljubljana,0.6066646067200461
Ljubno,0.29551293078497826
Ljutomer,0.29809329927627387
Log - Dragomer,0.6640645573139383
Logatec,0.49926828413240515
Loška dolina,0.33567129121965417
Loški Potok,0.35052002781743224
Lovrenc na Pohorju,0.3791755702288253
Luče,0.21457578008249026
Lukovica,0.4382721232967734
Majšperk,0.35950525408680634
Makole,0.33598109849507046
Maribor,0.40108057516535967
Markovci,0.3841985245020868
Medvode,0.5935752493337105
Mengeš,0.5644655946791415
Metlika,0.3562742903171367
Mežica,0.640917877428828
Miklavž na Dravskem polju,0.428499334321999
Miren - Kostanjevica,0.40154447079618033
Mirna,0.5845680104421358
Mirna Peč,0.4869436615469656
Mislinja,0.4523960739265382
Mokronog - Trebelno,0.4346212891406843
Moravče,0.439697236763688
Moravske Toplice,0.3111818413803056
Mozirje,0.4350248538810292
Murska Sobota,0.42133055702532834
Muta,0.41399301629178625
Naklo,0.5314857949287811
Nazarje,0.38231766822738883
Nova Gorica,0.425603451579161
Novo mesto,0.5963896038461759
Odranci,0.24760938846489683
Oplotnica,0.3754692968760829
Ormož,0.33411165617262467
Osilnica,0.1950897177411136
Pesnica,0.3697541679269573
Piran/Pirano,0.444213900726335
Pivka,0.41716201860637275
Podčetrtek,0.2958463812472026
Podlehnik,0.31470956790853194
Podvelka,0.25269022778172284
Poljčane,0.34472092479102273
Polzela,0.48513373483269184
Postojna,0.46463753771699756
Prebold,0.4737735912125612
Preddvor,0.5402492644115415
Prevalje,0.4572461883514095
Ptuj,0.45378694553669624
Puconci,0.25214724976744074
Rače - Fram,0.4669594617180118
Radeče,0.4180677972458134
Radenci,0.3417524819231531
Radlje ob Dravi,0.36578211254319976
Radovljica,0.5141153901655756
Ravne na Koroškem,0.46237105291263686
Razkrižje,0.24090858321056538
Rečica ob Savinji,0.38201193736349126
Renče - Vogrsko,0.4028301709891575
Ribnica,0.4648772307142933
Ribnica na Pohorju,0.27727669621521495
Rogaška Slatina,0.3268809174208707
Rogašovci,0.026938557879744234
Rogatec,0.2569525236656071
Ruše,0.41692151032677327
Selnica ob Dravi,0.4547008769991742
Semič,0.3881045420192423
Sevnica,0.4320971751283459
Sežana,0.38383246274771343
Slovenj Gradec,0.47059725135724123
Slovenska Bistrica,0.44791202125604024
Slovenske Konjice,0.4025864015803432
Sodražica,0.36636422410806085
Solčava,0.1686256541621384
Središče ob Dravi,0.2960567240815641
Starše,0.4026345032362631
Straža,0.5118211857628882
Sveta Ana,0.26890863864976206
Sveta Trojica v Slov. goricah,0.3760440709002103
Sveti Andraž v Slov. goricah,0.2985629018832206
Sveti Jurij ob Ščavnici,0.22737897338021756
Sveti Jurij v Slov. goricah,0.28699078486412105
Sveti Tomaž,0.28611517166991823
Šalovci,0.2234835545330104
Šempeter - Vrtojba,0.47751003001054154
Šenčur,0.5544164250034038
Šentilj,0.33051952234240395
Šentjernej,0.474496746615967
Šentjur,0.4003688337142061
Šentrupert,0.32867861490058864
Škocjan,0.39404224303728536
Škofja Loka,0.5799836780482793
Škofljica,0.6275480629300104
Šmarje pri Jelšah,0.3321598703375024
Šmarješke Toplice,0.5941223037595112
Šmartno ob Paki,0.47394480049634385
Šmartno pri Litiji,0.3708091432279798
Šoštanj,0.41324703298387616
Štore,0.34726460557865074
Tabor,0.4256148655314133
Tišina,0.26599318913163467
Tolmin,0.3996595381099637
Trbovlje,0.40871080224593975
Trebnje,0.5193747763069179
Trnovska vas,0.2608552800535477
Trzin,0.7303241807024311
Tržič,0.4531233057414626
Turnišče,0.3085411419985342
Velenje,0.43486750439640987
Velika Polana,0.3054944320295067
Velike Lašče,0.48251667863772846
Veržej,0.3446190145030569
Videm,0.3604713636167228
Vipava,0.4049825162709967
Vitanje,0.33266697593042066
Vodice,0.6242820420212806
Vojnik,0.40764033658114623
Vransko,0.3971672201074706
Vrhnika,0.5211129581784636
Vuzenica,0.39569645083154714
Zagorje ob Savi,0.4456137404418341
Zavrč,0.3726484201051878
Zreče,0.42886539607637236
Žalec,0.415590969607091
Železniki,0.48493725179749364
Žetale,0.3200496669979431
Žiri,0.46897076316130604
Žirovnica,0.5966708762409616
Žužemberk,0.4292575468644651
